,codigo,comuna
287,12201,Cabo de Hornos (Ex Navarino)
288,12202,Antartica
289,12301,Porvenir
290,12302,Primavera
291,12303,Timaukel
292,12401,Natales
293,12402,Torres del Paine
294,13101,Santiago
295,13102,Cerrillos
296,13103,Cerro Navia
297,13104,Conchali
298,13105,El Bosque
299,13106,Estacion Central
300,13107,Huechuraba
301,13108,Independencia
302,13109,La Cisterna
303,13110,La Florida
304,13111,La Granja
305,13112,La Pintana
306,13113,La Reina
307,13114,Las Condes
308,13115,Lo Barnechea
309,13116,Lo Espejo
310,13117,Lo Prado
311,13118,Macul
312,13119,Maipu
313,13120,Nunoa
314,13121,Pedro Aguirre Cerda
315,13122,Penalolen
316,13123,Providencia
317,13124,Pudahuel
318,13125,Quilicura
319,13126,Quinta Normal
320,13127,Recoleta
321,13128,Renca
322,13129,San Joaquin
323,13130,San Miguel
324,13131,San Ramon
325,13132,Vitacura
326,13201,Puente Alto
327,13202,Pirque
328,13203,San Jose de Maipo
329,13301,Colina
330,13302,Lampa
331,13303,Tiltil
332,13401,San Bernardo
333,13402,Buin
334,13403,Calera de Tango
335,13404,Paine
336,13501,Melipilla
337,13502,Alhue
338,13503,Curacavi
339,13504,Maria Pinto
340,13505,San Pedro
341,13601,Talagante
342,13602,El Monte
343,13603,Isla de Maipo
344,13604,Padre Hurtado
345,13605,Penaflor
