"Cód.","Nombre","","Provincia","Región","Superficie (km2)","Población 2012","Densidad (hab./km2)","IDH 2005"
"13119","Maipú","","Santiago","Metropolitana de Santiago","135,5","805.000","3.876,2","0,902"
"13120","Ñuñoa","","Santiago","Metropolitana de Santiago","16,9","195.410","8.937,5","0,860"
"13121","Pedro Aguirre Cerda","","Santiago","Metropolitana de Santiago","10,0","104.018","11.456,0","0,708"
"13122","Peñalolén","","Santiago","Metropolitana de Santiago","54,0","249.621","4.001,1","0,743"
"13123","Providencia","","Santiago","Metropolitana de Santiago","14,3","126.487","8.429,1","0,911"
"13124","Pudahuel","","Santiago","Metropolitana de Santiago","197,0","225.509","993,7","0,735"
"13125","Quilicura","","Santiago","Metropolitana de Santiago","58,0","203.946","3.486,6","0,782"
"13126","Quinta Normal","","Santiago","Metropolitana de Santiago","13,0","101.737","8.388,0","0,723"
"13127","Recoleta","","Santiago","Metropolitana de Santiago","16,0","152.985","9.273,8","0,697"
"13128","Renca","","Santiago","Metropolitana de Santiago","24,0","142.136","8.388,1","0,709"
"13129","San Joaquín","","Santiago","Metropolitana de Santiago","9,7","94.255","10.064,4","0,719"
"13130","San Miguel","","Santiago","Metropolitana de Santiago","10,0","90.846","7.787,2","0,765"
"13131","San Ramón","","Santiago","Metropolitana de Santiago","7,0","85.195","14.600,9","0,679"
"13132","Vitacura","","Santiago","Metropolitana de Santiago","28,3","84.195","2.910,7","0,949"
"13201","Puente Alto","","Cordillera","Metropolitana de Santiago","88,0","757.721","6.664,8","0,773"
"13202","Pirque","","Cordillera","Metropolitana de Santiago","445,3","20.732","37,2","0,807"
"13203","San José de Maipo","","Cordillera","Metropolitana de Santiago","4.994,8","14.455","0,3","0,759"
"13301","Colina","","Chacabuco","Metropolitana de Santiago","971,2","113.340","80,1","0,726"
"13302","Lampa","","Chacabuco","Metropolitana de Santiago","452,0","79.421","89,0","0,697"
"13303","Til Til","","Chacabuco","Metropolitana de Santiago","653,0","16.405","22,6","0,706"
"13401","San Bernardo","","Maipo","Metropolitana de Santiago","155,0","277.802","1.974,0","0,712"
"13402","Buin","","Maipo","Metropolitana de Santiago","214,0","74.232","296,2","0,731"
"13403","Calera de Tango","","Maipo","Metropolitana de Santiago","73,3","27.781","782,6","0,792"
"13404","Paine","","Maipo","Metropolitana de Santiago","820,0","66.512","73,7","0,718"
"13501","Melipilla","","Melipilla","Metropolitana de Santiago","1.345,0","107.698","70,3","0,735"
"13502","Alhué","","Melipilla","Metropolitana de Santiago","845,0","4.646","5,2","0,700"
"13503","Curacaví","","Melipilla","Metropolitana de Santiago","693,0","28.439","35,1","0,710"
"13504","María Pinto","","Melipilla","Metropolitana de Santiago","393,5","12.501","115,6","0,698"
"13505","San Pedro","","Melipilla","Metropolitana de Santiago","788,0","8.062","9,6","0,701"
"13601","Talagante","","Talagante","Metropolitana de Santiago","126,0","78.887","474,6","0,749"
"13602","El Monte","","Talagante","Metropolitana de Santiago","118,0","32.468","224,2","0,688"
"13603","Isla de Maipo","","Talagante","Metropolitana de Santiago","189,0","33.723","136,5","0,724"
"13604","Padre Hurtado","","Talagante","Metropolitana de Santiago","80,8","50.696","626,2","0,728"
"13605","Peñaflor","","Talagante","Metropolitana de Santiago","69,0","87.741","965,5","0,753"
