"Cód.","Nombre","","Provincia","Región","Superficie (km2)","Población 2012","Densidad (hab./km2)","IDH 2005"
"05703","Llaillay","","San Felipe de Aconcagua","Valparaíso","349,1","23.680","62,0","0,676"
"05704","Panquehue","","San Felipe de Aconcagua","Valparaíso","121,9","7.569","53,8","0,696"
"05705","Putaendo","","San Felipe de Aconcagua","Valparaíso","7,68","17.369","1938,8","0,674"
"05706","Santa María","","San Felipe de Aconcagua","Valparaíso","166,3","14.504","9,2","0,699"
"05801","Quilpué","","Marga Marga","Valparaíso","537,0","162.320","280,7","0,752"
"05802","Limache","","Marga Marga","Valparaíso","294,0","45.864","133,4","0,722"
"05803","Olmué","","Marga Marga","Valparaíso","232,0","16.243","70,5","0,701"
"05804","Villa Alemana","","Marga Marga","Valparaíso","97,0","135.368","1.225,6","0,755"
"06101","Rancagua","","Cachapoal","Lib. Gral. Bernardo O'Higgins","260,3","250.638","823,4","0,732"
"06102","Codegua","","Cachapoal","Lib. Gral. Bernardo O'Higgins","287,0","12.725","37,6","0,706"
"06103","Coinco","","Cachapoal","Lib. Gral. Bernardo O'Higgins","98,0","7.248","65,1","0,678"
"06104","Coltauco","","Cachapoal","Lib. Gral. Bernardo O'Higgins","225,0","17.620","72,1","0,644"
"06105","Doñihue","","Cachapoal","Lib. Gral. Bernardo O'Higgins","78,0","21.023","86,7","0,685"
"06106","Graneros","","Cachapoal","Lib. Gral. Bernardo O'Higgins","113,0","30.372","252,2","0,691"
"06107","Las Cabras","","Cachapoal","Lib. Gral. Bernardo O'Higgins","749,0","23.857","27,0","0,661"
"06108","Machalí","","Cachapoal","Lib. Gral. Bernardo O'Higgins","2.597,0","44.566","11,1","0,730"
"06109","Malloa","","Cachapoal","Lib. Gral. Bernardo O'Higgins","113,0","14.972","113,9","0,649"
"06110","Mostazal","","Cachapoal","Lib. Gral. Bernardo O'Higgins","524,0","23.430","44,7","0,691"
"06111","Olivar","","Cachapoal","Lib. Gral. Bernardo O'Higgins","45,0","13.483","256,5","0,661"
"06112","Peumo","","Cachapoal","Lib. Gral. Bernardo O'Higgins","153,1","14.158","92,1","0,674"
"06113","Pichidegua","","Cachapoal","Lib. Gral. Bernardo O'Higgins","320,0","18.637","55,5","0,652"
"06114","Quinta de Tilcoco","","Cachapoal","Lib. Gral. Bernardo O'Higgins","93,0","12.144","122,4","0,678"
"06115","Rengo","","Cachapoal","Lib. Gral. Bernardo O'Higgins","755,0","56.188","66,8","0,680"
"06116","Requínoa","","Cachapoal","Lib. Gral. Bernardo O'Higgins","673,0","26.235","33,0","0,668"
"06117","San Vicente","","Cachapoal","Lib. Gral. Bernardo O'Higgins","497,8","47.716","66,6","0,694"
"06201","Pichilemu","","Cardenal Caro","Lib. Gral. Bernardo O'Higgins","749,1","13.916","16,5","0,677"
